"id","standortnr","artbot","min_alter","max_alter","clifton_park_min","clifton_park_max","baumsicht_min","baumsicht_max","sondengaenger_min","sondengaenger_max","zier_h_2000_min","zier_h_2000_max","baumportal_min","baumportal_max","mitchell_min","mitchell_max","kappel_mattheck_min","kappel_mattheck_max","lat","lng","kronendurchmesser","baumhoehe"
"221_G4AAFNA","G4AAFNA","Robinia pseudoacacia","52","63",NULL,NULL,"52","63","78","94","52","63","71","85",NULL,NULL,NULL,NULL,"52.35889","13.00513","6-8","15-20"
"413_283","283","Fraxinus excelsior","46","55",NULL,NULL,"46","55","78","94","46","55","83","99","63","75",NULL,NULL,"52.39904","12.97859","8-10","15-20"
"407_32","32","Robinia pseudoacacia","42","52",NULL,NULL,"42","52","63","78","42","52","57","71",NULL,NULL,NULL,NULL,"52.48598","13.12308","2-4","5-10"
"804_TBA8","TBA8","Betula pendula","24","36","39","59","24","36",NULL,NULL,"24","36","24","36","25","38",NULL,NULL,"52.44666","12.97519","6-8","10-15"
"354_77","77","Quercus robur","75","88",NULL,NULL,"85","100","145","169","85","100","145","169","75","88","94","110","52.3814","13.05189","8-10","15-20"
"407_130","130","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48569","13.12407","8-10","20-25"
"827_0067","0067","Robinia pseudoacacia","42","52",NULL,NULL,"42","52","63","78","42","52","57","71",NULL,NULL,NULL,NULL,"52.38229","13.09335","6-8","15-20"
"221_PFSKLAK","PFSKLAK","Quercus robur","50","63",NULL,NULL,"57","71","97","121","57","71","97","121","50","63","63","78","52.35913","13.00667","8-10","15-20"
"85_3","3","Ginkgo biloba","16","33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"16","33",NULL,NULL,NULL,NULL,"52.36616","13.13384","2-4","2-5"
"124_144","144","Pseudotsuga menziesii","10","15","39","59","17","25",NULL,NULL,NULL,NULL,"13","19","10","15",NULL,NULL,"52.4111","12.97651","4-6","5-10"
"840_1210","1210","Tilia cordata","60","72","60","72","75","90","121","145","75","90","112","134","63","75",NULL,NULL,"52.40734","13.01394","12-14","15-20"
"289_31","31","Aesculus hippocastanum","74","83","251","283","74","83","179","202","74","83","148","166","126","142",NULL,NULL,"52.39448","13.02944","12-14","15-20"
"456_16","16","Taxus baccata","157","179",NULL,NULL,"183","209","157","179",NULL,NULL,"314","359","220","251",NULL,NULL,"52.39966","13.04567","12-14","10-15"
"236_85","85","Pinus sylvestris","25","38","27","41","25","38","45","67",NULL,NULL,"33","49","32","47","39","59","52.36713","13.13441","4-6","5-10"
"221_VL0W85Q","VL0W85Q","Quercus robur","50","63",NULL,NULL,"57","71","97","121","57","71","97","121","50","63","63","78","52.35924","13.00693","8-10","20-25"
"86_105","105","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.38528","13.14004","unbekannt","10-15"
"413_152","152","Fraxinus excelsior","28","37",NULL,NULL,"28","37","47","63","28","37","49","66","38","50",NULL,NULL,"52.39991","12.97577","10-12","15-20"
"221_UYAE1LL","UYAE1LL","Robinia pseudoacacia","52","63",NULL,NULL,"52","63","78","94","52","63","71","85",NULL,NULL,NULL,NULL,"52.35955","13.00672","8-10","15-20"
"292_153","153","Acer platanoides","43","54","70","87","43","54","74","92","43","54",NULL,NULL,"50","63",NULL,NULL,"52.37854","13.097","8-10","5-10"
"407_139","139","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48593","13.12384","8-10","20-25"
"236_95","95","Robinia pseudoacacia","21","31",NULL,NULL,"21","31","32","47","21","31","29","43",NULL,NULL,NULL,NULL,"52.36708","13.13449","6-8","10-15"
"104_2RYAWK3","2RYAWK3","Quercus robur","12","25",NULL,NULL,"14","29","24","48","14","29","24","48","12","25","16","32","52.36454","13.12313","4-6","10-15"
"221_QKAADX5","QKAADX5","Acer platanoides","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.3593","13.00484","<2","2-5"
"407_170","170","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.48594","13.12359","4-6","20-25"
"407_56","56","Pinus sylvestris","25","38","27","41","25","38","45","67",NULL,NULL,"33","49","32","47","39","59","52.48622","13.12428","6-8","10-15"
"368_48","48","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.3976","13.04907","4-6","2-5"
"308_397","397","Robinia pseudoacacia","73","84",NULL,NULL,"73","84","110","126","73","84","100","114",NULL,NULL,NULL,NULL,"52.38412","13.1379","8-10","10-15"
"820_1234","1234","Aesculus hippocastanum","65","74","220","251","65","74","157","179","65","74","129","148","110","126",NULL,NULL,"52.37542","13.09082","6-8","10-15"
"339_29","29","Salix alba 'Tristis'","20","25",NULL,NULL,"47","58",NULL,NULL,"47","58","45","56","20","25",NULL,NULL,"52.38129","13.09359","8-10","10-15"
"456_41","41","Robinia pseudoacacia","63","73",NULL,NULL,"63","73","94","110","63","73","85","100",NULL,NULL,NULL,NULL,"52.39992","13.04548","14-16","15-20"
"407_171","171","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48602","13.12365","8-10","20-25"
"292_211","211","Quercus palustris","12","24","12","24",NULL,NULL,NULL,NULL,NULL,NULL,"24","48",NULL,NULL,NULL,NULL,"52.37792","13.09733","6-8","5-10"
"407_38","38","Robinia pseudoacacia","42","52",NULL,NULL,"42","52","63","78","42","52","57","71",NULL,NULL,NULL,NULL,"52.48627","13.12318","10-12","15-20"
"407_186","186","Pinus sylvestris","63","75","68","82","63","75","112","134",NULL,NULL,"83","99","78","94","98","118","52.48562","13.12337","8-10","15-20"
"245_73","73","Fraxinus excelsior","9","19",NULL,NULL,"9","19","16","32","9","19","16","33","12","25",NULL,NULL,"52.48624","12.9346","2-4","5-10"
"407_95","95","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48538","13.1245","8-10","20-25"
"416_6","6","Ulmus spec.","18","37",NULL,NULL,NULL,NULL,"18","37",NULL,NULL,"19","39",NULL,NULL,NULL,NULL,"52.40959","13.07741","2-4","10-15"
"413_76","76","Acer pseudoplatanus","43","54","70","87","43","54","74","92","43","54",NULL,NULL,"50","63",NULL,NULL,"52.40059","12.98067","8-10","10-15"
"456_47","47","Taxus baccata","45","67",NULL,NULL,"52","78","45","67",NULL,NULL,"90","134","63","94",NULL,NULL,"52.39997","13.04552","4-6","10-15"
"172_165","165","Tilia spec.","12","25",NULL,NULL,NULL,NULL,"24","48",NULL,NULL,"22","45","12","25",NULL,NULL,"52.39372","13.04993","2-4","5-10"
"456_48","48","Taxus baccata","45","67",NULL,NULL,"52","78","45","67",NULL,NULL,"90","134","63","94",NULL,NULL,"52.39998","13.04553","4-6","10-15"
"153_175","175","Acer campestre","16","32",NULL,NULL,NULL,NULL,"18","37",NULL,NULL,"19","39","16","32",NULL,NULL,"52.39609","13.07717","2-4","2-5"
"308_22201","22201","Acer platanoides","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.38411","13.13783","2-4","10-15"
"308_396","396","Acer platanoides","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.38409","13.13791","6-8","10-15"
"153_214","214","Robinia pseudoacacia",NULL,"10",NULL,NULL,NULL,"10",NULL,"16",NULL,"10",NULL,"14",NULL,NULL,NULL,NULL,"52.395","13.0761","<2","<2"
"407_58","58","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.48618","13.12436","6-8","10-15"
"14_51","51","Quercus robur 'Pectinata'","38","50",NULL,NULL,"43","57","72","97","43","57","72","97","38","50","47","63","52.37555","13.00939","6-8","15-20"
"407_176","176","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48597","13.12339","8-10","20-25"
"222_185","185","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.36509","13.13748","4-6","5-10"
"407_124","124","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.48568","13.12415","6-8","20-25"
"140_432","432","Quercus robur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.47847","13.0112","unbekannt","20-25"
"413_154","154","Quercus robur","75","88",NULL,NULL,"85","100","145","169","85","100","145","169","75","88","94","110","52.39971","12.97605","10-12","15-20"
"289_32","32","Ulmus spec.","148","166",NULL,NULL,NULL,NULL,"148","166",NULL,NULL,"157","177",NULL,NULL,NULL,NULL,"52.39447","13.02941","14-16","15-20"
"368_76","76","Ulmus spec.","18","37",NULL,NULL,NULL,NULL,"18","37",NULL,NULL,"19","39",NULL,NULL,NULL,NULL,"52.39812","13.0491","2-4","5-10"
"86_49","49","Betula pendula",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.38531","13.14015","unbekannt","15-20"
"86_31","31","Quercus robur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.38535","13.14023","unbekannt","20-25"
"977_71","71","Aesculus hippocastanum","9","19","31","63","9","19","22","45","9","19","18","37","16","32",NULL,NULL,"52.37607","13.10125","4-6","5-10"
"407_46","46","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48614","13.12346","6-8","20-25"
"407_180","180","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.48581","13.12347","6-8","20-25"
"407_181","181","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48578","13.1235","8-10","20-25"
"413_168","168","Robinia pseudoacacia","21","31",NULL,NULL,"21","31","32","47","21","31","29","43",NULL,NULL,NULL,NULL,"52.39952","12.97644","2-4","10-15"
"456_43","43","Taxus baccata","179","202",NULL,NULL,"209","236","179","202",NULL,NULL,"359","404","251","283",NULL,NULL,"52.39978","13.0454","10-12","10-15"
"368_12","12","Malus domestica","13","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13","26","16","32",NULL,NULL,"52.39712","13.04984","2-4","2-5"
